invoice_id,invoice_date,vendor,invoice_currency,invoice_total,primary_source_file,primary_source_page,all_source_refs,source_occurrences,payment_channel,transaction_date,value_date,account_id,account_name
NP-2605-002,2026-05-02,North Pier Strategy,USD,3200.0,varied_training_invoices_2026_05/vendor_invoice_varied_02_no_addresses_minimal.pdf,1,varied_training_invoices_2026_05/vendor_invoice_varied_02_no_addresses_minimal.pdf#p1,1,Wire transfer,2026-05-05,2026-05-05,LF-OPER-USD-0881,Operating USD Account
CCL-2026-1012,2026-04-28,Caraway Capital Ltd,USD,103400.0,invoices_all_20/invoice_13_CCL-2026-1012.pdf,1,invoices_all_20/invoice_13_CCL-2026-1012.pdf#p1,1,Wire transfer,2026-05-07,2026-05-07,LF-OPER-USD-0881,Operating USD Account
COA-0526-04,2026-05-04,Chain Ops Analytics Pte Ltd,USDC,2850.0,varied_training_invoices_2026_05/vendor_invoice_varied_04_crypto_wallet_bottom.pdf,1,varied_training_invoices_2026_05/vendor_invoice_varied_04_crypto_wallet_bottom.pdf#p1,1,Crypto transfer,2026-05-07,2026-05-07,LF-WALLET-USDC-6627,Treasury USDC Wallet
PFD-2026-55,2026-05-05,Pixel Forge Design Co,USD,3680.5,varied_training_invoices_2026_05/vendor_invoice_varied_05_sales_tax_compact.pdf,1,varied_training_invoices_2026_05/vendor_invoice_varied_05_sales_tax_compact.pdf#p1,1,Wire transfer,2026-05-08,2026-05-09,LF-OPER-USD-0881,Operating USD Account
CD-INV-7731,2026-05-07,CloudDock SaaS Inc,USD,854.93,varied_training_invoices_2026_05/vendor_invoice_varied_07_credit_card_bottom.pdf,1,varied_training_invoices_2026_05/vendor_invoice_varied_07_credit_card_bottom.pdf#p1,1,Card settlement,2026-05-11,2026-05-11,LF-OPER-USD-0881,Operating USD Account
DELTA-2026-05-R,2026-05-08,Delta CFO Advisory,USD,4500.0,varied_training_invoices_2026_05/vendor_invoice_varied_08_retainer_no_address.pdf,1,varied_training_invoices_2026_05/vendor_invoice_varied_08_retainer_no_address.pdf#p1,1,FPS,2026-05-11,2026-05-11,LF-OPER-USD-0881,Operating USD Account
BPL-2026-091,2026-05-06,Blue Peak Legal LLP,USD,2750.0,varied_training_invoices_2026_05/vendor_invoice_varied_06_missing_bill_to_address.pdf,1,varied_training_invoices_2026_05/vendor_invoice_varied_06_missing_bill_to_address.pdf#p1,1,Wire transfer,2026-05-12,2026-05-12,LF-OPER-USD-0881,Operating USD Account
FGI-2026-1014,2026-04-30,Fairwater Group Inc.,AUD,120450.0,invoices_all_20/invoice_15_FGI-2026-1014.pdf,1,invoices_all_20/invoice_15_FGI-2026-1014.pdf#p1,1,Wire transfer,2026-05-13,2026-05-13,LF-OPER-AUD-9020,Operating AUD Account
EOS-90031,2026-05-09,Emerald Office Supplies,USD,448.12,varied_training_invoices_2026_05/vendor_invoice_varied_09_expense_lines_tax.pdf,1,varied_training_invoices_2026_05/vendor_invoice_varied_09_expense_lines_tax.pdf#p1,1,Wire transfer,2026-05-14,2026-05-14,LF-OPER-USD-0881,Operating USD Account
ATL-2026-0501,2026-05-01,Atlas Compliance Partners Ltd,USD,3570.0,varied_training_invoices_2026_05/vendor_invoice_varied_01_atlas_tax_table.pdf,1,varied_training_invoices_2026_05/vendor_invoice_varied_01_atlas_tax_table.pdf#p1,1,Wire transfer,2026-05-15,2026-05-15,LF-OPER-USD-0881,Operating USD Account
MC-15-0526,2026-05-15,Maple Courier,USD,355.0,varied_training_invoices_2026_05/vendor_invoice_varied_15_handwritten_style_sparse.pdf,1,varied_training_invoices_2026_05/vendor_invoice_varied_15_handwritten_style_sparse.pdf#p1,1,FPS,2026-05-15,2026-05-15,LF-OPER-USD-0881,Operating USD Account
KDR-2026-778,2026-05-13,Keystone Data Rooms,USD,1100.0,varied_training_invoices_2026_05/vendor_invoice_varied_13_subscription_bottom_address.pdf,1,varied_training_invoices_2026_05/vendor_invoice_varied_13_subscription_bottom_address.pdf#p1,1,Wire transfer,2026-05-18,2026-05-18,LF-OPER-USD-0881,Operating USD Account
QCM-2026-519,2026-05-19,Quarry Cafe Meetings,USD,440.0,varied_training_invoices_2026_05/vendor_invoice_varied_19_one_page_receipt_no_period.pdf,1,varied_training_invoices_2026_05/vendor_invoice_varied_19_one_page_receipt_no_period.pdf#p1,1,Card settlement,2026-05-19,2026-05-19,LF-OPER-USD-0881,Operating USD Account
JEL-2662,2026-05-12,Jade Event Logistics,HKD,11958.3,varied_training_invoices_2026_05/vendor_invoice_varied_12_hkd_invoice_tax.pdf,1,varied_training_invoices_2026_05/vendor_invoice_varied_12_hkd_invoice_tax.pdf#p1,1,Wire transfer,2026-05-20,2026-05-21,LF-OPER-HKD-1123,Operating HKD Account
HLS-2026-118,2026-05-03,Harbor Ledger Services,USD,1650.0,varied_training_invoices_2026_05/vendor_invoice_varied_03_address_bottom.pdf,1,varied_training_invoices_2026_05/vendor_invoice_varied_03_address_bottom.pdf#p1,1,Wire transfer,2026-05-25,2026-05-25,LF-OPER-USD-0881,Operating USD Account
OHR-2026-117,2026-05-17,Orchid HR Payroll,USD,936.0,varied_training_invoices_2026_05/vendor_invoice_varied_17_bill_to_missing_vendor_address.pdf,1,varied_training_invoices_2026_05/vendor_invoice_varied_17_bill_to_missing_vendor_address.pdf#p1,1,Wire transfer,2026-05-25,2026-05-25,LF-OPER-USD-0881,Operating USD Account
PTS-2026-1888,2026-05-18,Pioneer Tax Services,USD,5900.0,varied_training_invoices_2026_05/vendor_invoice_varied_18_big_total_footer_instructions.pdf,1,varied_training_invoices_2026_05/vendor_invoice_varied_18_big_total_footer_instructions.pdf#p1,1,Wire transfer,2026-05-25,2026-05-26,LF-OPER-USD-0881,Operating USD Account
NA-2026-0516,2026-05-16,Nord Analytics GmbH,EUR,2730.0,varied_training_invoices_2026_05/vendor_invoice_varied_16_eur_reverse_charge.pdf,1,varied_training_invoices_2026_05/vendor_invoice_varied_16_eur_reverse_charge.pdf#p1,1,SEPA/IBAN,2026-05-27,2026-05-27,LF-OPER-EUR-4402,Operating EUR Account
PRO-2026-05-11,2026-05-11,Glasshouse Training Group,USD,1725.0,varied_training_invoices_2026_05/vendor_invoice_varied_11_proforma_missing_addresses.pdf,1,varied_training_invoices_2026_05/vendor_invoice_varied_11_proforma_missing_addresses.pdf#p1,1,Wire transfer,2026-05-29,2026-05-29,LF-OPER-USD-0881,Operating USD Account
LAS-2026-0140,2026-05-14,Lantern Audit Support,USD,5360.0,varied_training_invoices_2026_05/vendor_invoice_varied_14_multiple_professional_fees.pdf,1,varied_training_invoices_2026_05/vendor_invoice_varied_14_multiple_professional_fees.pdf#p1,1,Wire transfer,2026-06-01,2026-06-01,LF-OPER-USD-0881,Operating USD Account
FRC-2026-144,2026-05-10,Frontier Risk Consulting,USD,2850.0,varied_training_invoices_2026_05/vendor_invoice_varied_10_footer_addresses_and_wire.pdf,1,varied_training_invoices_2026_05/vendor_invoice_varied_10_footer_addresses_and_wire.pdf#p1,1,Wire transfer,2026-06-03,2026-06-03,LF-OPER-USD-0881,Operating USD Account
SGL-2026-0520,2026-05-20,Summit Governance Labs,USD,1800.0,varied_training_invoices_2026_05/vendor_invoice_varied_20_bottom_address_missing_payment.pdf,1,varied_training_invoices_2026_05/vendor_invoice_varied_20_bottom_address_missing_payment.pdf#p1,1,Wire transfer,2026-06-05,2026-06-05,LF-OPER-USD-0881,Operating USD Account
SIM-2026-002,2026-06-05,Apex Field Services Inc.,USD,2192.71,SIM-2026-002_text_only_fee.pdf,1,BUNDLE-01_multi_invoice_text_only_SIM-2026-001_to_004.pdf#p2; SIM-2026-002_text_only_fee.pdf#p1; multi_invoice_pdf_bundles/BUNDLE-01_multi_invoice_text_only_SIM-2026-001_to_004.pdf#p2,3,Wire transfer,2026-06-16,2026-06-17,LF-OPER-USD-0881,Operating USD Account
SIM-2026-005,2026-06-11,Pioneer Audit Services LLC,USD,2418.99,SIM-2026-005_text_only_fee.docx,,SIM-2026-005_text_only_fee.docx,1,Wire transfer,2026-06-17,2026-06-17,LF-OPER-USD-0881,Operating USD Account
PFL-2026-1007,2026-05-25,Paragon Fiduciary Ltd,SGD,105000.0,invoices_all_20/invoice_08_PFL-2026-1007.pdf,1,invoices_all_20/invoice_08_PFL-2026-1007.pdf#p1,1,Wire transfer,2026-06-22,2026-06-22,LF-OPER-SGD-6500,Operating SGD Account
6024081,2026-06-02,Ogier,USD,10295.0,Ogier Invoice No 6024081.pdf,1,Ogier Invoice No 6024081.pdf#p1,1,Wire transfer,2026-06-24,2026-06-25,LF-OPER-USD-0881,Operating USD Account
SIM-2026-007,2026-06-15,Northbridge Labs LLC,USD,2111.9,SIM-2026-007_text_only_fee.docx,,SIM-2026-007_text_only_fee.docx,1,Wire transfer,2026-06-24,2026-06-25,LF-OPER-USD-0881,Operating USD Account
SIM-2026-001,2026-06-03,Northbridge Labs LLC,USD,2806.89,SIM-2026-001_text_only_fee.docx,,BUNDLE-01_multi_invoice_text_only_SIM-2026-001_to_004.pdf#p1; SIM-2026-001_text_only_fee.docx; multi_invoice_pdf_bundles/BUNDLE-01_multi_invoice_text_only_SIM-2026-001_to_004.pdf#p1,3,Wire transfer,2026-06-25,2026-06-25,LF-OPER-USD-0881,Operating USD Account
SIM-2026-003,2026-06-07,Cedarline Systems LLC,USD,3539.59,SIM-2026-003_text_only_fee.docx,,BUNDLE-01_multi_invoice_text_only_SIM-2026-001_to_004.pdf#p3; SIM-2026-003_text_only_fee.docx; multi_invoice_pdf_bundles/BUNDLE-01_multi_invoice_text_only_SIM-2026-001_to_004.pdf#p3,3,Wire transfer,2026-06-26,2026-06-26,LF-OPER-USD-0881,Operating USD Account
SIM-2026-006,2026-06-13,Gridline Analytics Ltd.,USD,3163.54,SIM-2026-006_text_only_fee.pdf,1,SIM-2026-006_text_only_fee.pdf#p1,1,Wire transfer,2026-06-26,2026-06-26,LF-OPER-USD-0881,Operating USD Account
OCP-2026-1013,2026-06-24,Oakhurst Consulting Pte. Ltd.,EUR,142000.0,invoices_all_20/invoice_14_OCP-2026-1013.pdf,1,invoices_all_20/invoice_14_OCP-2026-1013.pdf#p1,1,SEPA/IBAN,2026-07-06,2026-07-07,LF-OPER-EUR-4402,Operating EUR Account
SIM-2026-004,2026-06-09,Summit Ridge Operations LLC,USD,2265.0,SIM-2026-004_text_only_fee.pdf,1,BUNDLE-01_multi_invoice_text_only_SIM-2026-001_to_004.pdf#p4; SIM-2026-004_text_only_fee.pdf#p1; multi_invoice_pdf_bundles/BUNDLE-01_multi_invoice_text_only_SIM-2026-001_to_004.pdf#p4,3,Wire transfer,2026-07-06,2026-07-07,LF-OPER-USD-0881,Operating USD Account
SIM-2026-010,2026-06-21,Summit Ridge Operations LLC,USD,2338.18,SIM-2026-010_text_only_fee.pdf,1,BUNDLE-02_multi_invoice_mixed_SIM-2026-009_to_014.pdf#p2; SIM-2026-010_text_only_fee.pdf#p1; multi_invoice_pdf_bundles/BUNDLE-02_multi_invoice_mixed_SIM-2026-009_to_014.pdf#p2,3,Wire transfer,2026-07-06,2026-07-06,LF-OPER-USD-0881,Operating USD Account
SIM-2026-021,2026-07-01,SHEET Invoice,USD,2413.6,SIM-2026-021_excel_text_only_fee.xlsx,,SIM-2026-021_excel_text_only_fee.xlsx,1,Wire transfer,2026-07-06,2026-07-07,LF-OPER-USD-0881,Operating USD Account
SIM-2026-014,2026-06-29,Apex Field Services Inc.,USD,2203.49,SIM-2026-014_table_line_items.pdf,1,BUNDLE-02_multi_invoice_mixed_SIM-2026-009_to_014.pdf#p6; SIM-2026-014_table_line_items.pdf#p1; multi_invoice_pdf_bundles/BUNDLE-02_multi_invoice_mixed_SIM-2026-009_to_014.pdf#p6,3,Wire transfer,2026-07-10,2026-07-11,LF-OPER-USD-0881,Operating USD Account
SIM-2026-016,2026-07-03,Summit Ridge Operations LLC,USD,1811.0,SIM-2026-016_table_line_items.pdf,1,BUNDLE-03_multi_invoice_table_only_SIM-2026-015_to_020.pdf#p2; SIM-2026-016_table_line_items.pdf#p1; multi_invoice_pdf_bundles/BUNDLE-03_multi_invoice_table_only_SIM-2026-015_to_020.pdf#p2,3,Wire transfer,2026-07-10,2026-07-10,LF-OPER-USD-0881,Operating USD Account
SIM-2026-008,2026-06-17,Apex Field Services Inc.,USD,2170.0,SIM-2026-008_text_only_fee.pdf,1,SIM-2026-008_text_only_fee.pdf#p1,1,Wire transfer,2026-07-13,2026-07-14,LF-OPER-USD-0881,Operating USD Account
SIM-2026-015,2026-07-01,Cedarline Systems LLC,USD,2953.43,SIM-2026-015_table_line_items.docx,,BUNDLE-03_multi_invoice_table_only_SIM-2026-015_to_020.pdf#p1; SIM-2026-015_table_line_items.docx; multi_invoice_pdf_bundles/BUNDLE-03_multi_invoice_table_only_SIM-2026-015_to_020.pdf#p1,3,Wire transfer,2026-07-13,2026-07-13,LF-OPER-USD-0881,Operating USD Account
SIM-2026-022,2026-07-03,SHEET Invoice,USD,2602.16,SIM-2026-022_excel_table_line_items.xlsx,,SIM-2026-022_excel_table_line_items.xlsx,1,Wire transfer,2026-07-13,2026-07-14,LF-OPER-USD-0881,Operating USD Account
SIM-2026-023,2026-07-05,SHEET Invoice,USD,1735.0,SIM-2026-023_excel_text_only_fee.xlsx,,SIM-2026-023_excel_text_only_fee.xlsx,1,Wire transfer,2026-07-15,2026-07-16,LF-OPER-USD-0881,Operating USD Account
SIM-2026-009,2026-06-19,Cedarline Systems LLC,USD,2926.49,SIM-2026-009_text_only_fee.docx,,BUNDLE-02_multi_invoice_mixed_SIM-2026-009_to_014.pdf#p1; SIM-2026-009_text_only_fee.docx; multi_invoice_pdf_bundles/BUNDLE-02_multi_invoice_mixed_SIM-2026-009_to_014.pdf#p1,3,Wire transfer,2026-07-16,2026-07-16,LF-OPER-USD-0881,Operating USD Account
SIM-2026-017,2026-07-05,Pioneer Audit Services LLC,USD,2650.65,SIM-2026-017_table_line_items.docx,,BUNDLE-03_multi_invoice_table_only_SIM-2026-015_to_020.pdf#p3; SIM-2026-017_table_line_items.docx; multi_invoice_pdf_bundles/BUNDLE-03_multi_invoice_table_only_SIM-2026-015_to_020.pdf#p3,3,Wire transfer,2026-07-16,2026-07-16,LF-OPER-USD-0881,Operating USD Account
SIM-2026-011,2026-06-23,Pioneer Audit Services LLC,USD,2418.99,SIM-2026-011_text_only_fee.docx,,BUNDLE-02_multi_invoice_mixed_SIM-2026-009_to_014.pdf#p3; SIM-2026-011_text_only_fee.docx; multi_invoice_pdf_bundles/BUNDLE-02_multi_invoice_mixed_SIM-2026-009_to_014.pdf#p3,3,Wire transfer,2026-07-20,2026-07-20,LF-OPER-USD-0881,Operating USD Account
SIM-2026-018,2026-07-07,Gridline Analytics Ltd.,USD,3356.41,SIM-2026-018_table_line_items.pdf,1,BUNDLE-03_multi_invoice_table_only_SIM-2026-015_to_020.pdf#p4; SIM-2026-018_table_line_items.pdf#p1; multi_invoice_pdf_bundles/BUNDLE-03_multi_invoice_table_only_SIM-2026-015_to_020.pdf#p4,3,Wire transfer,2026-07-20,2026-07-20,LF-OPER-USD-0881,Operating USD Account
SIM-2026-012,2026-06-25,Gridline Analytics Ltd.,USD,3025.0,SIM-2026-012_text_only_fee.pdf,1,BUNDLE-02_multi_invoice_mixed_SIM-2026-009_to_014.pdf#p4; SIM-2026-012_text_only_fee.pdf#p1; multi_invoice_pdf_bundles/BUNDLE-02_multi_invoice_mixed_SIM-2026-009_to_014.pdf#p4,3,Wire transfer,2026-07-21,2026-07-21,LF-OPER-USD-0881,Operating USD Account
SIM-2026-019,2026-07-09,Northbridge Labs LLC,USD,2316.63,SIM-2026-019_table_line_items.docx,,BUNDLE-03_multi_invoice_table_only_SIM-2026-015_to_020.pdf#p5; SIM-2026-019_table_line_items.docx; multi_invoice_pdf_bundles/BUNDLE-03_multi_invoice_table_only_SIM-2026-015_to_020.pdf#p5,3,Wire transfer,2026-07-22,2026-07-22,LF-OPER-USD-0881,Operating USD Account
SIM-2026-013,2026-06-27,Northbridge Labs LLC,USD,2198.1,SIM-2026-013_table_line_items.docx,,BUNDLE-02_multi_invoice_mixed_SIM-2026-009_to_014.pdf#p5; SIM-2026-013_table_line_items.docx; multi_invoice_pdf_bundles/BUNDLE-02_multi_invoice_mixed_SIM-2026-009_to_014.pdf#p5,3,Wire transfer,2026-07-23,2026-07-23,LF-OPER-USD-0881,Operating USD Account
SIM-2026-020,2026-07-11,Apex Field Services Inc.,USD,2685.0,SIM-2026-020_table_line_items.pdf,1,BUNDLE-03_multi_invoice_table_only_SIM-2026-015_to_020.pdf#p6; SIM-2026-020_table_line_items.pdf#p1; multi_invoice_pdf_bundles/BUNDLE-03_multi_invoice_table_only_SIM-2026-015_to_020.pdf#p6,3,Wire transfer,2026-07-24,2026-07-24,LF-OPER-USD-0881,Operating USD Account
SIM-2026-030,2026-07-19,Summit Pixel Billing LLC,USD,1664.74,SIM-2026-030_png_text_only_fee.png,,SIM-2026-030_png_text_only_fee.png,1,Wire transfer,2026-07-29,2026-07-29,LF-OPER-USD-0881,Operating USD Account
SIM-2026-025,2026-07-09,SHEET Invoice,USD,2241.2,SIM-2026-025_excel_text_only_fee.xlsx,,SIM-2026-025_excel_text_only_fee.xlsx,1,Wire transfer,2026-07-31,2026-08-01,LF-OPER-USD-0881,Operating USD Account
SIM-2026-028,2026-07-15,Greenfield Office Services LLC,USD,1690.0,SIM-2026-028_png_text_only_fee.png,,SIM-2026-028_png_text_only_fee.png,1,Wire transfer,2026-07-31,2026-08-01,LF-OPER-USD-0881,Operating USD Account
SIM-2026-024,2026-07-07,SHEET Invoice,USD,2995.45,SIM-2026-024_excel_table_line_items.xlsx,,SIM-2026-024_excel_table_line_items.xlsx,1,Wire transfer,2026-08-03,2026-08-04,LF-OPER-USD-0881,Operating USD Account
SIM-2026-026,2026-07-11,Ironwood Receipt Imaging LLC,USD,1842.53,SIM-2026-026_png_text_only_fee.png,,SIM-2026-026_png_text_only_fee.png,1,Wire transfer,2026-08-07,2026-08-08,LF-OPER-USD-0881,Operating USD Account
SIM-2026-027,2026-07-13,Silverline Parser Fixtures Inc.,USD,2160.39,SIM-2026-027_png_table_line_items.png,,SIM-2026-027_png_table_line_items.png,1,Wire transfer,2026-08-10,2026-08-11,LF-OPER-USD-0881,Operating USD Account
SIM-2026-029,2026-07-17,Beacon Image Operations Co.,USD,2629.1,SIM-2026-029_png_table_line_items.png,,SIM-2026-029_png_table_line_items.png,1,Wire transfer,2026-08-12,2026-08-12,LF-OPER-USD-0881,Operating USD Account
